hs6,label_fr,label_en,chapter
100144,Produit export 144,Export product 144,Chapitre 45
100145,Produit export 145,Export product 145,Chapitre 46
100146,Produit export 146,Export product 146,Chapitre 47
100147,Produit export 147,Export product 147,Chapitre 48
100148,Produit export 148,Export product 148,Chapitre 49
100149,Produit export 149,Export product 149,Chapitre 50
100150,Produit export 150,Export product 150,Chapitre 51
100151,Produit export 151,Export product 151,Chapitre 52
100152,Produit export 152,Export product 152,Chapitre 53
100153,Produit export 153,Export product 153,Chapitre 54
100154,Produit export 154,Export product 154,Chapitre 55
100155,Produit export 155,Export product 155,Chapitre 56
100156,Produit export 156,Export product 156,Chapitre 57
100157,Produit export 157,Export product 157,Chapitre 58
100158,Produit export 158,Export product 158,Chapitre 59
100159,Produit export 159,Export product 159,Chapitre 60
100160,Produit export 160,Export product 160,Chapitre 61
100161,Produit export 161,Export product 161,Chapitre 62
100162,Produit export 162,Export product 162,Chapitre 63
100163,Produit export 163,Export product 163,Chapitre 64
100164,Produit export 164,Export product 164,Chapitre 65
100165,Produit export 165,Export product 165,Chapitre 66
100166,Produit export 166,Export product 166,Chapitre 67
100167,Produit export 167,Export product 167,Chapitre 68
100168,Produit export 168,Export product 168,Chapitre 69
100169,Produit export 169,Export product 169,Chapitre 70
100170,Produit export 170,Export product 170,Chapitre 71
100171,Produit export 171,Export product 171,Chapitre 72
100172,Produit export 172,Export product 172,Chapitre 73
100173,Produit export 173,Export product 173,Chapitre 74
100174,Produit export 174,Export product 174,Chapitre 75
100175,Produit export 175,Export product 175,Chapitre 76
100176,Produit export 176,Export product 176,Chapitre 77
100177,Produit export 177,Export product 177,Chapitre 78
100178,Produit export 178,Export product 178,Chapitre 79
100179,Produit export 179,Export product 179,Chapitre 80
100180,Produit export 180,Export product 180,Chapitre 81
100181,Produit export 181,Export product 181,Chapitre 82
100182,Produit export 182,Export product 182,Chapitre 83
100183,Produit export 183,Export product 183,Chapitre 84
100184,Produit export 184,Export product 184,Chapitre 85
100185,Produit export 185,Export product 185,Chapitre 86
100186,Produit export 186,Export product 186,Chapitre 87
100187,Produit export 187,Export product 187,Chapitre 88
100188,Produit export 188,Export product 188,Chapitre 89
100189,Produit export 189,Export product 189,Chapitre 90
100190,Produit export 190,Export product 190,Chapitre 91
100191,Produit export 191,Export product 191,Chapitre 92
100192,Produit export 192,Export product 192,Chapitre 93
100193,Produit export 193,Export product 193,Chapitre 94
100194,Produit export 194,Export product 194,Chapitre 95
100195,Produit export 195,Export product 195,Chapitre 96
100196,Produit export 196,Export product 196,Chapitre 97
100197,Produit export 197,Export product 197,Chapitre 98
100198,Produit export 198,Export product 198,Chapitre 00
100199,Produit export 199,Export product 199,Chapitre 01
100200,Produit export 200,Export product 200,Chapitre 02
